scenario,K,tier,n_orders,ord_span_sec,orders_per_h,ia_mean_sec,ia_cv2,peak10_over_mean,cook_mean_sec,cook_p95_sec,vol_mean,vol_max,lead_mean_sec,lead_min_sec,pool_bike,pool_walk,pool_car,t_e2e_mean_sec,t_e2e_p95_sec,sla_violations,t_lobby_mean_sec,t_lobby_p95_sec,lobby_cost_krw,w_ev_riders_sec,w_ev_all_sec,ped_ev_wait_sec,ev1_util_del,ev2_util_del,ev1_pax_del,ev2_pax_del,ev1_boardings,ev2_boardings,ev2_pax_mean,ev2_pax_max,ev2_ge12_frac,stairs_share,share_floor_le5,riders_in_building_max,arrival_ia_cv2,arrival_peak10,rider_wait_mean_sec,fallback_n
K100_9,100,primary,100,3495.0,103.0,35.3,1.1033,1.32,1095.0,2100.0,26.2,73,4136.0,3056.0,20,30,100,1661.7233333333334,2604.883333333333,0.0,249.84,318.5,81566.83333333333,27.339593474185147,25.60911646594509,25.27633689686017,0.8509012057479101,0.8649515790869479,0.7942344013484819,0.8034697673000974,250.33333333333334,248.0,0.8043333333333335,6,0.0,0.15,0.42,15,1.3871666666666667,1.5200000000000002,0.0,9.666666666666666
K200_1,200,primary,200,3580.0,201.12,17.99,0.8788,1.11,1003.5,1800.0,29.6,100,2886.1,1790.0,40,60,200,1603.96,2544.9166666666665,0.0,264.8633333333333,346.3999999999999,119568.36666666665,36.17629555016603,31.652200348274516,29.920912144717523,0.9128376540543365,0.8961666617994141,1.0928591774398193,0.9810929902241362,308.0,297.0,0.9816666666666666,9,0.0,0.15,0.4366666666666667,24,3.3434333333333335,1.485,0.0,11.666666666666666
K200_2,200,primary,200,3562.0,202.13,17.9,1.2555,1.23,1077.0,1800.0,32.1,100,2918.1,1823.0,40,60,200,1635.425,2400.35,0.0,261.2183333333333,342.4166666666667,116465.93333333333,35.438174777030206,30.729466422550036,28.97332250767833,0.8942594650359584,0.8866407766382286,1.0170418985568566,0.9798546423549506,321.3333333333333,312.0,0.9826666666666667,8,0.0,0.15,0.4366666666666667,27,5.694266666666667,2.035,0.0,3.3333333333333335
K200_3,200,primary,200,3549.0,202.87,17.83,1.0208,1.38,1014.0,1800.0,25.2,85,2715.0,1758.0,40,60,200,1458.55,2357.5499999999997,0.0,261.37166666666667,343.0833333333333,130685.83333333333,36.34716300265999,31.64453718780936,29.90276467094637,0.8861099853569753,0.8805407803351574,0.9899977991943674,0.9756567171051672,319.0,306.6666666666667,0.9776666666666666,8,0.0,0.15,0.4366666666666667,22,2.5794,1.8500000000000003,0.0,0.0
K200_4,200,primary,200,3546.0,203.05,17.82,1.0214,1.95,1014.0,1800.0,27.8,100,3331.6,2309.0,40,60,200,1485.9233333333334,2323.5,0.0,270.17,364.3833333333334,137854.96666666667,37.880058111232806,32.62154699355423,30.374214844186152,0.901174425734446,0.9085913971685491,1.022460558780114,1.011800726354614,273.3333333333333,271.3333333333333,1.0146666666666666,8,0.0,0.15,0.4366666666666667,30,1.8236666666666668,1.9466666666666665,0.0,16.333333333333332
K200_5,200,primary,200,3514.0,204.89,17.66,1.2721,1.83,1062.0,1800.0,31.8,100,2787.7,1810.0,40,60,200,1539.6366666666665,2343.066666666666,0.0,266.78999999999996,359.21666666666664,136952.23333333334,35.841129126897194,31.63505842475747,29.83613732568662,0.9062308623024049,0.905929628798836,1.0148323302351674,1.038084248190209,290.3333333333333,288.3333333333333,1.04,7,0.0,0.15,0.4366666666666667,34,1.2528,2.0533333333333332,0.0,19.333333333333332
K200_6,200,primary,200,3587.0,200.72,18.03,1.9691,2.01,1057.5,1800.0,27.7,80,3351.5,2292.0,40,60,200,1513.9183333333333,2421.8499999999985,0.0,275.7916666666667,365.36666666666656,141844.5,39.698694127157985,32.49688065726438,29.6760411609214,0.8835886932924014,0.8764985926175872,0.9806671767844142,1.0254611968208416,299.3333333333333,305.6666666666667,1.0293333333333334,7,0.0,0.15,0.4366666666666667,33,5.874033333333333,2.5,0.0,23.0
K200_7,200,primary,200,3509.0,205.19,17.63,0.9292,1.47,1095.0,1800.0,29.0,100,2962.7,1869.0,40,60,200,1683.54,2610.3333333333326,0.0,264.825,348.05,135261.56666666668,35.11058465463586,30.634006387700968,28.92066253692971,0.8910187694272763,0.8859908389625973,0.9873411779782938,0.981164551289571,321.3333333333333,313.6666666666667,0.9813333333333333,8,0.0,0.15,0.4366666666666667,26,2.7489333333333335,2.35,0.0,15.666666666666666
K200_8,200,primary,200,3540.0,203.39,17.79,0.9231,1.26,1023.0,1800.0,25.2,89,4068.4,2935.0,40,60,200,1582.6050000000002,2465.133333333332,0.0,257.7633333333333,338.5666666666666,128881.66666666667,34.482606834263464,30.930741245139632,29.53893260787596,0.8986088748164157,0.8996745663917024,1.0040893008971892,0.9941315499955947,303.3333333333333,301.3333333333333,0.9973333333333333,9,0.0,0.15,0.4366666666666667,23,2.4566,1.71,0.0,0.0
K200_9,200,primary,200,3562.0,202.13,17.9,2.2636,2.22,1044.0,1800.0,27.4,90,3308.1,2313.0,40,60,200,1470.6616666666669,2324.266666666666,0.0,267.4433333333333,357.4166666666667,120126.43333333333,37.190861932578805,32.06763773126715,29.97531331181844,0.8966335677475978,0.8970800569142822,1.0736868508182538,0.9736479660154047,302.3333333333333,281.0,0.9726666666666667,7,0.0,0.15,0.4366666666666667,33,5.726233333333333,2.205,0.0,12.333333333333334
